Timestamp,Accelerometer1.Max.X,Accelerometer1.Max.Y,Accelerometer1.Max.Z,Accelerometer2.Max.X,Accelerometer2.Max.Y,Accelerometer2.Max.Z,Accelerometer1.Min.X,Accelerometer1.Min.Y,Accelerometer1.Min.Z,Accelerometer2.Min.X,Accelerometer2.Min.Y,Accelerometer2.Min.Z,Temperature
2023-12-05 13:49:00,-0.004870653,0.02200198,0.9961371,0.007222175,-0.02099419,1.009574,-0.01024509,0.01394033,0.9612026,0.001847506,-0.02636886,0.9867318,22.82033
2023-12-05 13:49:30,-0.003526926,0.02065849,0.9880753,0.005878448,-0.0196507,1.002855,-0.01024509,0.01259661,0.966577,0.0005040169,-0.02636886,0.989419,22.85342
2023-12-05 13:50:00,-0.003526926,0.02065849,0.9827008,0.005878448,-0.02099419,1.005543,-0.008901596,0.01394033,0.966577,0.001847506,-0.02636886,0.9880753,22.86996
2023-12-05 13:50:30,-0.004870653,0.02065849,0.9827008,0.005878448,-0.0196507,1.001512,-0.01024509,0.01259661,0.966577,0.0005040169,-0.02636886,0.9907625,22.80379
2023-12-05 13:51:00,0.001847506,0.02200198,1.001512,0.01259661,-0.01830697,1.013604,-0.01158881,0.01259661,0.9585154,0.0005040169,-0.03308702,0.9840443,22.80379
2023-12-05 13:51:30,-0.004870653,0.02065849,0.9947934,0.005878448,-0.02233791,1.004199,-0.008901596,0.01394033,0.9585154,0.0005040169,-0.02636886,0.989419,22.83688
2023-12-05 13:52:00,-0.003526926,0.02334571,1.041821,0.007222175,-0.01830697,1.060632,-0.008901596,0.01259661,0.8967082,-0.003526926,-0.02771235,0.9410482,22.86996
2023-12-05 13:52:30,0.01125288,0.03140759,1.024354,0.009909391,-0.01830697,1.009574,-0.01427603,0.007222175,0.9612026,-0.003526926,-0.03174329,0.966577,22.75416
2023-12-05 13:53:00,-0.003526926,0.02334571,1.00823,0.007222175,-0.01830697,1.009574,-0.01696324,0.01259661,0.9625463,0.0005040169,-0.03039956,0.9773262,22.75416
2023-12-05 13:53:30,-0.004870653,0.02065849,0.9800136,0.005878448,-0.02099419,1.000168,-0.008901596,0.01528382,0.9692645,0.001847506,-0.02636886,0.9921062,22.96919
